Date,Instrument,Timepoint,Type,Day1,Day2,Day3,Comments
2017-03-08,Two,,Media,0,0,0,
2017-03-08,Two,,Sheath,0,0,0,
2017-03-21,Two,,Media,0,0,0,
2017-03-21,Two,,Sheath,0,0,0,
2017-03-25,Two,,Media,0,0,0,
2017-03-25,Two,,Sheath,0,0,0,
2017-05-03,Two,,Media,0,0,,
2017-05-03,Two,,Sheath,0,0,,
2017-05-18,Two,,Media,0,0,0,
2017-05-18,Two,,Sheath,0,0,0,
2017-05-19,Two,,Media,0,0,0,
2017-05-19,Two,,Sheath,0,0,0,
2017-06-02,Two,,Media,0,0,0,
2017-06-02,Two,,Sheath,0,0,0,
2017-06-09,Two,,Media,0,0,0,
2017-06-09,Two,,Sheath,0,0,0,
2017-06-19,Two,,Media,0,0,0,
2017-06-19,Two,,Sheath,0,0,0,
2017-06-26,Two,,Media,0,0,0,
2017-06-26,Two,,Sheath,0,0,0,
2017-07-06,Two,,Media,0,0,0,
2017-07-06,Two,,Sheath,0,0,0,
2017-07-13,Two,,Media,0,0,0,
2017-07-13,Two,,Sheath,0,0,0,
2017-07-25,Two,,Media,0,0,0,
2017-07-25,Two,,Sheath,0,0,0,
2017-07-27,Two,,Media,0,0,0,
2017-07-27,Two,,Sheath,0,0,0,
2017-08-02,,,Media,0,0,0,
2017-08-02,,,Sheath,0,0,0,
2017-08-04,,,Media,0,0,0,
2017-08-04,,,Sheath,0,0,0,
2017-08-11,,,Media,0,0,0,
2017-08-11,,,Sheath,0,0,0,
2017-08-18,,,Media,0,0,0,
2017-08-18,,,Sheath,0,0,0,
2017-08-23,,,Media,0,0,0,
2017-08-23,,,Sheath,0,0,0,
2017-09-13,,,Media,0,0,0,
2017-09-13,,,Sheath,0,0,0,
2017-10-04,,,Media,0,0,0,
2017-10-04,,,Sheath,0,0,0,
2017-10-09,,,Media,0,0,0,
2017-10-09,,,Sheath,0,0,0,
2017-10-18,,,Media,0,0,0,
2017-10-18,,,Sheath,0,0,0,
2017-10-20,,,Media,0,0,0,
2017-10-20,,,Sheath,0,0,0,
2017-10-24,,,Media,0,0,0,
2017-10-24,,,Sheath,0,0,0,
2017-10-25,,,Media,0,0,0,
2017-10-25,,,Sheath,0,0,0,
2017-10-30,,,Media,0,0,0,
2017-10-30,,,Sheath,0,0,0,
2017-11-03,,,Media,0,0,0,
2017-11-03,,,Sheath,0,0,0,
2017-11-10,,,Media,0,0,0,
2017-11-10,,,Sheath,0,0,0,
2017-11-17,,,Media,0,0,0,
2017-11-17,,,Sheath,0,0,0,
2017-11-28,,,Media,1,1,1,Questionable growth
2017-11-28,,,Sheath,1,1,1,Cocci
2017-11-30,,,Media,,,,
2017-11-30,,,Sheath,,,,
2017-12-05,,,Media,0,0,0,
2017-12-05,,,Sheath,0,0,0,
2017-12-08,,,Media,0,0,0,
2017-12-08,,,Sheath,0,0,0,
2017-12-11,,,Media,0,0,0,
2017-12-11,,,Sheath,0,0,0,
2017-12-12,,,Media,0,0,0,
2017-12-12,,,Sheath,0,0,0,
2017-12-13,,,Media,0,0,0,
2017-12-13,,,Sheath,0,0,0,
2017-12-14,,,Media,0,0,0,
2017-12-14,,,Sheath,0,0,0,
2017-12-18,,,Media,0,0,0,
2017-12-18,,,Sheath,0,0,0,
