Date,Type,Day1,Day2,Day3,Comments,,,,7-
1/4/2019,LB,-,-,N/A,,,,,
1/4/2019,Sheath,-,-,N/A,,,,,
1/7/2019,LB,-,-,-,,,,,
1/7/2019,Sheath,-,-,-,,,,,
1/8/2019,LB,-,-,-,,,,,
1/8/2019,Sheath,-,-,-,,,,,
1/10/2019,LB,-,-,N/A,,,,,
1/10/2019,Sheath,-,-,N/A,,,,,
1/14/2019,LB,-,-,-,,,,,
1/14/2019,Sheath,-,-,-,,,,,
1/15/2019,LB,-,-,-,,,,,
1/15/2019,Sheath,-,-,-,,,,,
1/15/2019,LB,-,-,N/A,,,,,
1/15/2019,Sheath,-,-,N/A,,,,,
1/17/2019,LB,-,-,N/A,,,,,
1/17/2019,Sheath,-,-,N/A,,,,,
1/23/2019,LB,-,-,-,,,,,
1/23/2019,Sheath,-,-,-,,,,,
1/24/2019,LB,-,-,N/A,,,,,
1/24/2019,Sheath,-,-,N/A,,,,,
1/28/2019,LB,-,-,-,,,,,
1/28/2019,Sheath,-,-,-,,,,,
2/5/2019,LB,-,-,-,,,,,
2/5/2019,Sheath,-,-,-,,,,,
2/6/2019,LB,-,-,N/A,,,,,
2/6/2019,Sheath,-,-,N/A,,,,,
2/7/2019,LB,-,-,,,,,,
2/7/2019,Sheath,-,-,,,,,,
2/11/2019,LB,-,-,,,,,,
2/11/2019,Sheath,-,-,,,,,,
2/13/2019,LB,-,-,,,,,,
2/13/2019,Sheath,-,-,,,,,,
2/15/2019,LB,-,,,,,,,
2/15/2019,Sheath,+,,,"Users contacted, instrument left in EtOH over weekend.  Additional samples pulled 2-18-19",,,,
2/18/2019,LB,-,-,-,,,,,
2/18/2019,Sheath,-,-,-,,,,,
2/19/2019,LB,-,-,-,,,,,
2/19/2019,Sheath,-,-,-,,,,,
2/22/2019,LB,-,-,-,,,,,
2/22/2019,Sheath,-,-,-,,,,,
2/25/2019,LB,-,-,-,,,,,
2/25/2019,Sheath,-,-,-,,,,,
2/26/2019,LB,-,-,-,,,,,
2/26/2019,Sheath,-,-,-,,,,,
2/27/2019,LB,-,-,-,,,,,
2/27/2019,Sheath,-,-,-,,,,,
3/1/2019,LB,-,,,,,,,
3/1/2019,Sheath,-,,,,,,,
3/11/2019,LB,-,-,-,,,,,
3/11/2019,Sheath,-,-,-,,,,,
3/12/2019,LB,-,-,-,,,,,
3/12/2019,Sheath,-,-,-,,,,,
3/15/2019,LB,-,-,,,,,,
3/15/2019,Sheath,-,-,,,,,,
3/18/2019,LB,-,-,-,,,,,
3/18/2019,Sheath,-,-,-,,,,,
3/19/2019,LB,-,-,-,,,,,
3/19/2019,Sheath,-,-,-,,,,,
4/1/2019,LB,-,-,-,,,,,
4/1/2019,Sheath,-,-,-,,,,,
4/2/2019,LB,-,-,-,,,,,
4/2/2019,Sheath,-,-,-,,,,,
4/3/2019,LB,-,-,-,,,,,
4/3/2019,Sheath,-,-,-,,,,,
4/4/2019,LB,-,-,N/A,,,,,
4/4/2019,Sheath,-,-,N/A,,,,,
4/8/2019,LB,-,-,-,,,,,
4/8/2019,Sheath,-,-,-,,,,,
4/10/2019,LB,-,-,-,,,,,
4/10/2019,Sheath,-,-,-,,,,,
4/11/2019,LB,-,-,N/A,,,,,
4/11/2019,Sheath,-,-,N/A,,,,,
4/12/2019,LB,-,N/A,N/A,,,,,
