Tube Inoculation Date: 1-7-20, Read 1:   1-8-20,Read 2: 1-9-20,Read 3: 1-10-20,Comments,,,,7-
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Michael, Sample Buffer",-,-,-,,,,,
"Michael, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-8-20, Read 1:   1-9-20,Read 2: 1-10-20,Read 3: 1-13-20,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Brandon, Sample Buffer",-,-,-,,,,,
"Brandon, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-9-20, Read 1:   1-10-20,Read 2: 1-13-20,Read 3:,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Vikas, Sample Buffer",-,-,,,,,,
"Vikas, Collection Buffer",-,-,,,,,,
"Beatrice, Sample Buffer",-,-,,,,,,
"Ian, Sample Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-10-20, Read 1:  1-13-20 ,Read 2:,Read 3:,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Jin-Gu, Sample Buffer",-,,,,,,,
"Jin-Gu, Collection Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-13-20, Read 1:   1-14-20,Read 2: 1-15-20,Read 3: 1-16-20,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Kevin, Sample Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-14-20, Read 1:   1-15-20,Read 2: 1-16-20,Read 3: 1-17-20,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-15-20, Read 1:   1-16-20,Read 2: 1-17-20,Read 3: 1-21-20,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Vikas, Sample Buffer",-,-,,,,,,
"Vikas, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-16-20, Read 1:   1-17-20,Read 2: 1-21-20,Read 3:,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Vikas, Sample Buffer",-,-,,,,,,
"Vikas, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-17-20, Read 1:   1-22-20,Read 2: ,Read 3:,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Vikas, Sample Buffer",-,,,,,,,
"Vikas, Collection Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-21-20, Read 1:   1-22-20,Read 2:  1-23-20,Read 3: 1-24-20,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Xiaobei, Sample Buffer",-,-,-,,,,,
"Xiaobei, Collection Buffer",-,-,-,,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-22-20, Read 1:   1-23-20,Read 2: 1-24-20,Read 3: 1-27-20,Comments,,,,
LB,-,-,-,,,,,
Sheath Sort 1,-,-,-,,,,,
Buffer sort 1,-,-,-,,,,,
FBS Sort 1,-,-,-,,,,,
Sheath Sort 2,-,-,-,,,,,
Buffer sort 2,-,-,-,,,,,
Sheath Sort 3,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-23-20, Read 1:   1-24-20,Read 2:  1-27-20,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Xiaobei, Sample Buffer",-,-,,,,,,
"Xiaobei, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-27-20, Read 1:   1-28-20,Read 2:  1-29-20,Read 3: 1-30-20,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Xiaobei, Sample Buffer",-,-,-,,,,,
"Xiaobei, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-28-20, Read 1:   1-29-20,Read 2:  1-30-20,Read 3: 1-31-20,Comments,,,,
LB,-,-,-,,,,,
"Sheath, Morning",-,-,-,,,,,
"Wenji, Sample Buffer",-,-,-,,,,,
"Wenji, Collection Buffer",-,-,-,,,,,
"Sheath, Afternoon",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-29-20, Read 1:   1-30-20,Read 2:  1-31-20,Read 3: 2-3-20,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-30-20, Read 1:   1-31-20,Read 2:  2-3-20,Read 3:,Comments,,,,
LB,-,-,,,,,,
