Tube Inoculation Date: 1-5-21, Read 1:   1-6-21,Read 2: 1-7-21,Read 3: 1-8-21,Comments,,,,7-
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Alip, Sample Buffer",-,-,-,,,,,
"Alip, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-7-21, Read 1:   1-8-21,Read 2: 1-9-21,,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Young, Sample Buffer",-,-,,,,,,
"Young, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-11-21, Read 1:   1-12-21,Read 2: 1-13-21,Read 3: 1-14-21,Comments,,,,
LB,-,-,-,discarded 1-14,,,,
Sheath,-,-,-,discarded 1-14,,,,
"Wenji, Sample Buffer",-,-,-,discarded 1-14,,,,
"Wenji, Collection Buffer",-,-,-,discarded 1-14,,,,
,,,,,,,,
Tube Inoculation Date: 1-13-21, Read 1:   1-14-21,Read 2: 1-15-21,Read 3: 1-14-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
,,,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-13-21, Read 1:   1-19-21,Read 2: ,Read 3: ,Comments,,,,
"LB, tube #1",-,,,,,,,
"Sheath, tube #2",-,,,,,,,
"AM Sample Buffer, tube #3",-,,,,,,,
"PM Sample Buffer, tube #4",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-19-21, Read 1:   ,Read 2: ,Read 3: ,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Alexa, Sample Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-21-21, Read 1:   ,Read 2: ,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Vikas, Sample Buffer",-,-,,,,,,
"Vikas, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-22-21, Read 1:   ,Read 2: ,Read 3: ,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Alexa, Sample Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-25-21, Read 1:   ,Read 2: ,Read 3: ,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Zahra, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 1-26-21, Read 1:   ,Read 2: ,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Soad, Sample Buffer",-,-,,,,,,
"Soad, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 1-28-21, Read 1:   ,Read 2: ,Read 3: ,Comments,,,,
LB,,,,,,,,
Sheath,,,,,,,,
"Vikas, Sample Buffer",,,,,,,,
"Vikas, Collection Buffer",,,,,,,,
"Liron, Sample Buffer",,,,,,,,
"Liron, Collection Buffer",,,,,,,,
,,,,,,,,
Tube Inoculation Date: 2-3-20, Read 1:   2-4-2020,Read 2: 2-5-2020,Read 3: 2-6-2020,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Kevin, Sample Buffer",-,-,-,All samples discarded 2/6/20,,,,
"Kenny, Sample Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 2-08-21, Read 1:   2-09-2021,Read 2: 2-10-21,Read 3: 2-11-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Chris, Sample Buffer",-,-,-,,,,,
Sheng Sample Buffer,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 2-09-21, Read 1:   2-10-2021,Read 2: 2-11-21,Read 3: 2-12-21,,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
Sheng Sample Buffer,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 2-10-21, Read 1:   2-11-2021,Read 2: 2-12-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheng Sample Buffer,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 2-11-21, Read 1:   2-12-2021,Read 2: 2-15-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheng Sample Buffer,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 2-15-21, Read 1:   2-16-2021,Read 2: 2-17-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheng Sample Buffer,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 2-19-21, Read 1:   2-22-21,Read 2: 2-23-21,Read 3: 2-24-21,Comments,,,,
LB sample 2,-,-,,,,,,
Sheath sample 1,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 2-22-21, Read 1:   2-23-21,Read 2: 2-24-21,Read 3: 2-25-21,Comments,,,,
LB ,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Soad, Collection Buffer",+,N/A,N/A,User notifed via e-mail 2/23,,,,
,,,,,,,,
,,,,,,,,
Tube Inoculation Date: 2-23-21, Read 1:   2-24-21,Read 2: 2-25-21,Read 3: 2-6-21,Comments,,,,
LB ,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Brandon, Sample Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 2-24-21, Read 1:   2-25-21,Read 2: 2-26-21,Read 3:,Comments,,,,
LB ,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 2-25-21, Read 1:   2-25-21,Read 2: 2-26-21,Read 3:,Comments,,,,
LB ,-,-,-,,,,,
Sheath,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 3-1-21, Read 1:  3-2-21,Read 2: 3-3-21,Read 3: 3-4-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Soad,  Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 3-2-21, Read 1:  3-3-21,Read 2: 3-4-21,Read 3: 3-5-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
