Tube Inoculation Date: 1-07-2025, Read 1: 1-08-2025, Read 2:  1-09-2025, Read 3: 1-10-2025,Comments
LB,-,-,-,
Sheath,1,1,1,
,,,,
Tube Inoculation Date: 1-09-2025, Read 1: 1-10-2025, Read 2:, Read 3: 1-13-2025,Comments
LB,-,N/A,-,ethanol shutdown and re-made sheath on 1-09
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 1-10-25, Read 1: , Read 2: , Read 3: 1-13-2025,Comments
LB,N/A,N/A,-,liklely user error. did not change sheath again. will check same seath and check tomorrow 1-14
Sheath,N/A,N/A,1,
,,,,
Tube Inoculation Date: 1-13-2025, Read 1: 1-14-2025, Read 2: 1-15-2025, Read 3: 1-16-2025,Comments
LB,-,-,-,sheath looked clear 1-14
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 1-14-2025, Read 1: 1-15-2025, Read 2: 1-16-2025, Read 3: 1-17-2025,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 1-15-2025, Read 1: , Read 2: , Read 3: 1-21-25,Comments
LB,-,-,-,
Sheath,1,1,1,
,,,,
Tube Inoculation Date: 1-16-25, Read 1: 1-17-25, Read 2: , Read 3: 1-21-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 1-17-25, Read 1: , Read 2: , Read 3: 1-21-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 1-21-25, Read 1: , Read 2: 2-23-25, Read 3: ,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-23-25, Read 1: 2-24-25, Read 2: , Read 3: 1-27-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 2-24-25, Read 1: , Read 2: , Read 3: 1-27-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 1-27-25, Read 1: 1-28-2025, Read 2: 1-29-25, Read 3: 1-30-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 1-28-2025, Read 1: 1-29-25, Read 2: 1-30-25, Read 3: 1-31-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 1-30-25, Read 1: 1-31-25, Read 2: ,5,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 1-31-25, Read 1: , Read 2: , Read 3: 2-03-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 2-03-25, Read 1: 2-04-25, Read 2: 2-05-25, Read 3: 2-06-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-04-25, Read 1: 2-05-25, Read 2: 2-06-25, Read 3: ,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-05-25, Read 1: 2-06-25, Read 2: 2-07-25, Read 3: 2-10-25,Comments
LB,-,-,-,
Sheath,-,1,1,
,,,,
Tube Inoculation Date: 2-07-25, Read 1: , Read 2: , Read 3: 2-10-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 2-10-25, Read 1: 2-11-25, Read 2: 2-12-25, Read 3: 2-13-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-11-25, Read 1: 2-12-25, Read 2: 2-13-25, Read 3: 2-14-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-12-25, Read 1: 2-13-25, Read 2: 2-14-25, Read 3: 2-17-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-13-25, Read 1: 2-14-25, Read 2: , Read 3: 2-17-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 2-14-25, Read 1: , Read 2: , Read 3: 2-17-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 2-17-25, Read 1: 2-18-25, Read 2: 2-19-25, Read 3: 2-20-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-18-25, Read 1: 2-19-25, Read 2: 2-20-25, Read 3: 2-21-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-20-25, Read 1: 2-21-25, Read 2: , Read 3: 2-24-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 2-21-25, Read 1: , Read 2: , Read 3: 2-24-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 2-24-25, Read 1: 2-25-25, Read 2: 2-26-25, Read 3: 2-27-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-25-25, Read 1: 2-26-25, Read 2: 2-27-25, Read 3: 2-28-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-26-25, Read 1: 2-27-25, Read 2: 2-28-25, Read 3: 3-03-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 2-27-25, Read 1: 2-28-25, Read 2: , Read 3: 3-03-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date:, Read 1: , Read 2: , Read 3: ,Comments
LB,,,,
Sheath,,,,
,,,,
Tube Inoculation Date: , Read 1: , Read 2: , Read 3: ,Comments
LB,,,,
Sheath,,,,
,,,,
Tube Inoculation Date: 3-03-25, Read 1: 3-04-25, Read 2: 3-05-25, Read 3: 3-06-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 3-04-25, Read 1: 3-05-25, Read 2: 3-06-25, Read 3:  3-07-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 3-05-25, Read 1: 3-06-25, Read 2:  3-07-25, Read 3: 3-10-25,Comments
LB,-,-,-,
Sheath,-,-,-,
Tube Inoculation Date: 3-06-25, Read 1:  3-07-25, Read 2: , Read 3: 3-10-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 3-07-25, Read 1: , Read 2: , Read 3: 3-10-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 3-10-25, Read 1: 3-11-25, Read 2: 3-12-25, Read 3: 3-13-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 3-12-25, Read 1: 3-13-25, Read 2: 3-14-25, Read 3: 3-17-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 3-14-25, Read 1: , Read 2: , Read 3: 3-17-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 3-18-25, Read 1: , Read 2: , Read 3: ,Comments
LB,N/A,N/A,N/A,Mikayla forgot to incubate
Sheath,N/A,N/A,N/A,
,,,,
Tube Inoculation Date: 3-20-25, Read 1: 3-21-25, Read 2: , Read 3: 3-24-25,Comments
LB,-,,-,
Sheath,-,,-,
,,,,
Tube Inoculation Date: 3-25-25, Read 1: 3-26-25, Read 2: 3-27-25, Read 3: 3-28-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 3-27-25, Read 1: 3-28-25, Read 2: , Read 3: 3-31-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 3-28-25, Read 1: , Read 2: , Read 3: 3-31-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 3-31-25, Read 1: 4-01-25, Read 2: 4-02-25, Read 3: 4-03-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 4-03-25, Read 1: 3-04-25, Read 2: , Read 3: ,Comments
LB,-,N/A,N/A,
Sheath,-,N/A,N/A,
,,,,
Tube Inoculation Date: 4-04-25, Read 1: , Read 2: , Read 3: 7-07-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 4-07-25, Read 1: 4-08-25, Read 2: 4-09-25, Read 3: 4-10-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 4-09-25, Read 1: 4-10-25, Read 2: 4-11-25, Read 3: 4-14-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 4-10-25, Read 1: 4-11-25, Read 2: , Read 3: 4-14-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 4-11-25, Read 1: , Read 2: , Read 3: 4-14-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 4-14-25, Read 1: , Read 2: 4-16-25, Read 3:  4-17-25,Comments
LB,N/A,-,-,
Sheath,N/A,-,-,
,,,,
Tube Inoculation Date: 4-16-25, Read 1:  4-17-25, Read 2:  4-18-25, Read 3: ,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 4-17-25, Read 1:  4-18-25, Read 2: , Read 3: ,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 4-18-25, Read 1: , Read 2: , Read 3: 4-21-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 4-21-25, Read 1: 4-22-25, Read 2: 4-23-25, Read 3: 4-25-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 4-23-25, Read 1: , Read 2: 4-25-25, Read 3: ,Comments
LB,N/A,-,,
Sheath,N/A,-,,
,,,,
Tube Inoculation Date: 4-29-25, Read 1: 4-29-25, Read 2: 4-30-25, Read 3: 4-01-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 4-30-25, Read 1: 4-01-25, Read 2: 4-02-25, Read 3: 4-05-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 5/01/25, Read 1: 5-02-25, Read 2: , Read 3: 5-05-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 5/02/25, Read 1: , Read 2: , Read 3:  5-05-25,Comments
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date:  5-05-25, Read 1:  5-06-25, Read 2:  5-07-25, Read 3:  5-08-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 5/07/25, Read 1:  5-08-25, Read 2: 5-09-25, Read 3: 5-12-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 5-08-25, Read 1: 5-09-25, Read 2: , Read 3: 5-12-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 5-13-25, Read 1: 5-14-25, Read 2: 5-15-25, Read 3:  5-16-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 5-14-25, Read 1: 5-15-25, Read 2: 5-16-25, Read 3: 5-20-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 5-15-25, Read 1:  5-16-25, Read 2: , Read 3: 5-20-25,Comments
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 5-20-25, Read 1: 5-21-25, Read 2:  5-22-25, Read 3:  5-23-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 5-28-25, Read 1: 5-29-25, Read 2: 5-28-25, Read 3: 6-02-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
,,,,
,,,,
Tube Inoculation Date: 6-03-25, Read 1: 6-04-25, Read 2: 6-05-25, Read 3: 6-06-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 6-04-25, Read 1:  6-05-25, Read 2:  6-06-25, Read 3: 6-09-25,Comments
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 06-05-25, Read 1:  6-06-25, Read 2:  ,Read 3:  6-09-25,
LB,-,N/A,-,
Sheath,-,N/A,-,
,,,,
Tube Inoculation Date: 06-06-25, Read 1:  , Read 2:  ,Read 3:  6-09-25,
,N/A,N/A,-,
,N/A,N/A,-,
,,,,
Tube Inoculation Date: 06-09-25,Read 1:  6-10-25,Read 2: 6-11-25,Read 3: 6-12-25,
,-,-,-,
,-,-,-,
Tube Inoculation Date: 6-11-25,Read 1:  6-12-25,Read 2: 6-13-25,Read 3: 6-16-25,
,-,-,-,
,-,-,-,
,,,,
Tube Inoculation Date: 6-12-25,Read 1:  6-13-25,Read 2:,Read 3: 6-16-25,
,-,N/A,-,
,-,N/A,-,
,,,,
