"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-01-05,"Monday","Morning","","","Aria","","","","","","","",""
2026-01-05,"Monday","Morning","","","Aurora","","","","","","","",""
2026-01-05,"Monday","Morning","","","LB","","","","","","","",""
2026-01-05,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-01-05,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-01-05,"Monday","Afternoon","","","LB","","","","","","","",""
2026-01-06,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-01-06,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-01-06,"Tuesday","Morning","","","LB","","","","","","","",""
2026-01-06,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-01-06,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-01-06,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-01-07,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-01-07,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-01-07,"Wednesday","Morning","","","LB","","","","","","","",""
2026-01-07,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-01-07,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-01-07,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-01-08,"Thursday","Morning","","","Aria","","","","","","","",""
2026-01-08,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-01-08,"Thursday","Morning","","","LB","","","","","","","",""
2026-01-08,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-01-08,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-01-08,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-01-09,"Friday","Morning","","","Aria","","","","","","","",""
2026-01-09,"Friday","Morning","","","Aurora","","","","","","","",""
2026-01-09,"Friday","Morning","","","LB","","","","","","","",""
2026-01-09,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-01-09,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-01-09,"Friday","Afternoon","","","LB","","","","","","","",""
