"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery"
"3f111dc5-7eb6-436e-8d59-b08766cb0a25","738234","BRB 7-022 Temperature - (738234)","09/01/2025 12:53 AM","21.2","21.2? C","100"
"b068686d-7fbe-4466-b8eb-1b1fa09dd81e","738234","BRB 7-022 Temperature - (738234)","09/01/2025 2:53 AM","21.8","21.8? C","100"
"6dbf0c82-b0ff-44bc-ba90-6b8cb2c3782a","738234","BRB 7-022 Temperature - (738234)","09/01/2025 4:53 AM","22.5","22.5? C","100"
"c3891d8e-186b-43f4-b362-50e764eb190d","738234","BRB 7-022 Temperature - (738234)","09/01/2025 6:53 AM","22.5","22.5? C","100"
"e4894acc-f027-4172-8542-53e82dfa1fad","738234","BRB 7-022 Temperature - (738234)","09/01/2025 8:53 AM","22.4","22.4? C","100"
"3d4293d0-c21a-43e5-b2ac-157578b7c81d","738234","BRB 7-022 Temperature - (738234)","09/01/2025 10:53 AM","22.3","22.3? C","100"
"697c6124-45bd-4127-bef0-5df07f906cf3","738234","BRB 7-022 Temperature - (738234)","09/01/2025 12:53 PM","22.6","22.6? C","100"
"892d3f13-f0e8-461d-9cc1-0d62d7facbc6","738234","BRB 7-022 Temperature - (738234)","09/01/2025 2:53 PM","22.6","22.6? C","100"
"af9adf08-091e-4ca2-a490-a061e1a0041a","738234","BRB 7-022 Temperature - (738234)","09/01/2025 4:53 PM","22.5","22.5? C","100"
"c16c6bbd-86c0-4e09-92cd-648a9ed16e4d","738234","BRB 7-022 Temperature - (738234)","09/01/2025 6:53 PM","22.6","22.6? C","100"
"676980c8-69b1-4019-aabf-23d9af5bda9d","738234","BRB 7-022 Temperature - (738234)","09/01/2025 8:53 PM","22.8","22.8? C","100"
"d244df09-e487-4c55-ad4d-8e91e459110a","738234","BRB 7-022 Temperature - (738234)","09/01/2025 10:53 PM","22.8","22.8? C","100"
"c7bd6286-e365-4d60-828a-e4ece5ed5204","738234","BRB 7-022 Temperature - (738234)","09/02/2025 12:53 AM","22.4","22.4? C","100"
"73b4a0e9-f01b-411e-ac3f-b149802b933e","738234","BRB 7-022 Temperature - (738234)","09/02/2025 2:53 AM","22.7","22.7? C","100"
"a9853d5b-26a1-4d60-a9e3-364e90bd8a4c","738234","BRB 7-022 Temperature - (738234)","09/02/2025 4:53 AM","21.8","21.8? C","100"
"b75e2ac9-06a0-46a8-a45c-6b9e01418a02","738234","BRB 7-022 Temperature - (738234)","09/02/2025 6:53 AM","22.1","22.1? C","100"
"701f747f-1d3e-4dc0-b101-4b66fa274db1","738234","BRB 7-022 Temperature - (738234)","09/02/2025 8:53 AM","22.5","22.5? C","100"
"e2927e4b-a0c9-45e6-8a5c-0f3ca2c07b45","738234","BRB 7-022 Temperature - (738234)","09/02/2025 10:53 AM","21.7","21.7? C","100"
