"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery"
"fb6f6fc2-77f4-4e48-984b-f0c580537b9f","738225","VWR Freezer Temperature - (738225)","09/01/2025 12:49 AM","-8","-8? C","100"
"de001ae1-4797-424f-8841-f36708bd25ae","738225","VWR Freezer Temperature - (738225)","09/01/2025 2:49 AM","-21","-21? C","100"
"1991af3c-d477-46e8-85e6-2374aae6be00","738225","VWR Freezer Temperature - (738225)","09/01/2025 4:49 AM","-28.6","-28.6? C","100"
"5e8a3edb-358a-4aac-a4aa-beacfe54d3ef","738225","VWR Freezer Temperature - (738225)","09/01/2025 6:49 AM","-25.9","-25.9? C","100"
"f308b4db-5f59-4d70-bd64-a69e61ef8a8a","738225","VWR Freezer Temperature - (738225)","09/01/2025 8:49 AM","-12.2","-12.2? C","100"
"04df7fee-1756-4cfa-ace8-2b7edbe2f8c5","738225","VWR Freezer Temperature - (738225)","09/01/2025 10:49 AM","-3.9","-3.9? C","100"
"f39e9008-1efe-47a3-9af1-ffeeb28f2dc8","738225","VWR Freezer Temperature - (738225)","09/01/2025 12:49 PM","-26.9","-26.9? C","100"
"4721fa59-f7ea-4b03-bbc3-d57088518bbb","738225","VWR Freezer Temperature - (738225)","09/01/2025 2:49 PM","-29.7","-29.7? C","100"
"760d1796-6b33-4494-98c3-0dca30f1ab45","738225","VWR Freezer Temperature - (738225)","09/01/2025 4:49 PM","-18","-18? C","100"
"9e3013aa-305f-4e17-9ec8-c96ab4e9213f","738225","VWR Freezer Temperature - (738225)","09/01/2025 6:49 PM","-7.5","-7.5? C","100"
"001eae54-83ca-4507-99d4-235a1f0e539f","738225","VWR Freezer Temperature - (738225)","09/01/2025 8:49 PM","-22.9","-22.9? C","100"
"22d57b96-e47f-4b2c-a051-3e1b92f332f8","738225","VWR Freezer Temperature - (738225)","09/01/2025 10:49 PM","-28.8","-28.8? C","100"
"db8c5ed5-5688-4d55-8425-e8a7c9c999d6","738225","VWR Freezer Temperature - (738225)","09/02/2025 12:49 AM","-26.3","-26.3? C","100"
